               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067321,            0.030534,            0.042733,           0.0056322,             0.98325,             0.30105,             0.13947,            0.032925,            0.016026,            0.038553,            0.070246,            0.003306,            0.003306
                   1,            0.038047,            0.018835,            0.040867,             0.29882,             0.77223,             0.36587,             0.21937,            0.026306,           0.0071719,            0.037252,            0.040119,           0.0065129,           0.0065129
                   2,            0.033168,            0.014047,            0.039962,             0.36853,             0.70061,             0.42778,             0.23371,            0.026115,           0.0058276,            0.036034,           0.0098662,           0.0095929,           0.0095929
                   3,             0.02887,            0.011867,            0.036367,              0.4745,             0.84601,             0.54684,               0.358,            0.021068,            0.005635,            0.027686,           0.0094288,           0.0094288,           0.0094288
                   4,            0.027205,            0.010985,            0.028043,             0.64658,             0.76747,             0.77787,             0.53293,            0.020644,           0.0054208,            0.018886,           0.0094288,           0.0094288,           0.0094288
                   5,            0.027605,             0.01058,            0.018331,             0.87034,             0.86152,             0.91795,             0.61917,            0.021718,           0.0055288,            0.010295,           0.0092385,           0.0092385,           0.0092385
                   6,            0.027024,            0.010276,            0.011795,             0.90569,             0.85193,             0.94044,             0.62698,            0.020728,           0.0055716,           0.0079231,           0.0090481,           0.0090481,           0.0090481
                   7,            0.025569,            0.010219,           0.0092704,             0.87065,             0.80295,             0.91526,             0.66934,            0.019666,           0.0054876,            0.019118,           0.0088577,           0.0088577,           0.0088577
                   8,            0.025246,           0.0099082,           0.0079697,             0.83478,             0.84725,             0.89825,             0.65301,             0.01911,           0.0053486,            0.017846,           0.0086673,           0.0086673,           0.0086673
                   9,            0.023943,           0.0094966,           0.0074552,             0.92082,             0.90952,             0.96274,             0.72594,            0.018172,           0.0049124,           0.0059632,           0.0084769,           0.0084769,           0.0084769
                  10,            0.023672,           0.0096549,           0.0070624,             0.93722,             0.91069,             0.96923,              0.7277,            0.017901,           0.0048508,           0.0059307,           0.0082865,           0.0082865,           0.0082865
                  11,            0.023296,           0.0094218,           0.0066833,             0.90387,             0.91282,             0.96911,             0.73144,            0.017621,           0.0050102,           0.0044214,           0.0080962,           0.0080962,           0.0080962
                  12,             0.02293,           0.0095812,            0.006349,             0.92327,             0.91315,             0.96573,             0.72612,            0.018047,            0.004974,           0.0064846,           0.0079058,           0.0079058,           0.0079058
                  13,             0.02246,           0.0092904,           0.0056635,             0.93474,             0.94264,              0.9829,             0.75407,            0.016901,           0.0051268,           0.0028553,           0.0077154,           0.0077154,           0.0077154
                  14,            0.022317,           0.0093158,           0.0052589,             0.95885,             0.93441,             0.97523,             0.75839,            0.016536,           0.0048139,           0.0030941,            0.007525,            0.007525,            0.007525
                  15,            0.021706,           0.0091902,           0.0051429,             0.96139,             0.95623,              0.9857,             0.77286,            0.016375,           0.0043766,           0.0025424,           0.0073346,           0.0073346,           0.0073346
                  16,            0.021133,           0.0088291,           0.0044865,             0.89588,             0.86335,             0.93101,             0.72396,            0.016629,            0.004613,            0.016366,           0.0071442,           0.0071442,           0.0071442
                  17,            0.020931,           0.0088006,            0.004419,             0.94842,             0.91487,             0.98212,             0.77804,            0.015588,           0.0044428,           0.0027375,           0.0069538,           0.0069538,           0.0069538
                  18,            0.021118,           0.0090017,           0.0044028,             0.96689,             0.94797,             0.98904,             0.78278,            0.015672,           0.0044239,           0.0017362,           0.0067635,           0.0067635,           0.0067635
                  19,              0.0208,           0.0086256,           0.0038998,             0.96604,             0.91824,             0.98473,             0.78191,            0.015429,           0.0044412,           0.0039658,           0.0065731,           0.0065731,           0.0065731
                  20,            0.020484,            0.008588,           0.0035541,             0.95491,             0.93656,             0.98589,             0.78378,            0.015537,           0.0042933,           0.0025366,           0.0063827,           0.0063827,           0.0063827
                  21,            0.020163,           0.0085258,           0.0039291,             0.96958,             0.93981,             0.98779,             0.78746,            0.015608,           0.0042822,            0.001952,           0.0061923,           0.0061923,           0.0061923
                  22,            0.019978,           0.0084808,           0.0035402,              0.9545,             0.97391,             0.99119,             0.79116,            0.015488,           0.0042096,            0.001805,           0.0060019,           0.0060019,           0.0060019
                  23,            0.019807,           0.0084805,           0.0040777,             0.95404,             0.96357,             0.98768,             0.79063,            0.015486,           0.0043822,           0.0022694,           0.0058115,           0.0058115,           0.0058115
                  24,            0.019777,           0.0083815,           0.0033339,             0.96515,             0.95796,             0.98965,             0.78969,            0.015285,           0.0043763,           0.0024639,           0.0056212,           0.0056212,           0.0056212
                  25,            0.019616,           0.0082396,           0.0035126,             0.97289,             0.97526,             0.99239,             0.79599,            0.015237,           0.0041803,            0.001527,           0.0054308,           0.0054308,           0.0054308
                  26,            0.018935,           0.0080965,           0.0028764,             0.95859,             0.96809,             0.99145,             0.79748,            0.014723,           0.0041085,           0.0027639,           0.0052404,           0.0052404,           0.0052404
                  27,            0.019002,           0.0082042,            0.002969,             0.97144,             0.96775,             0.98999,             0.79673,            0.014863,             0.00414,           0.0018507,             0.00505,             0.00505,             0.00505
                  28,            0.018656,           0.0083427,           0.0028916,             0.96856,             0.97293,             0.99211,             0.80232,            0.014529,             0.00412,          0.00096308,           0.0048596,           0.0048596,           0.0048596
                  29,            0.018356,            0.008005,           0.0028049,             0.97358,             0.97736,             0.99244,              0.8065,            0.014405,           0.0041211,           0.0010777,           0.0046692,           0.0046692,           0.0046692
                  30,            0.018129,           0.0080056,           0.0022335,             0.97288,             0.96429,             0.99208,             0.81015,            0.014373,            0.004095,           0.0013037,           0.0044788,           0.0044788,           0.0044788
                  31,            0.018006,           0.0078271,           0.0022354,             0.96434,             0.96926,             0.99034,             0.81102,             0.01429,           0.0040287,           0.0016105,           0.0042885,           0.0042885,           0.0042885
                  32,            0.017763,           0.0077933,           0.0023695,             0.95711,             0.96141,             0.98894,              0.7984,            0.014375,           0.0040625,           0.0019232,           0.0040981,           0.0040981,           0.0040981
                  33,            0.017883,           0.0077622,           0.0023478,             0.96887,             0.96844,             0.99184,             0.81221,            0.014181,           0.0040252,           0.0014907,           0.0039077,           0.0039077,           0.0039077
                  34,            0.017649,           0.0078022,           0.0025487,             0.96956,             0.96468,             0.99227,             0.80415,            0.014355,           0.0041064,           0.0022144,           0.0037173,           0.0037173,           0.0037173
                  35,            0.017776,           0.0078059,           0.0022609,             0.97108,             0.98161,             0.99327,             0.81537,            0.014352,           0.0040338,          0.00073406,           0.0035269,           0.0035269,           0.0035269
                  36,            0.017244,           0.0076675,           0.0020927,             0.97145,             0.98456,             0.99319,             0.81145,            0.014321,           0.0039542,           0.0007304,           0.0033365,           0.0033365,           0.0033365
                  37,            0.017087,           0.0076089,            0.002091,             0.96995,             0.98212,             0.99271,             0.81865,            0.013775,           0.0039311,          0.00098951,           0.0031462,           0.0031462,           0.0031462
                  38,            0.017182,           0.0075232,           0.0021011,             0.97942,             0.96862,             0.99266,              0.8173,            0.014165,           0.0039344,             0.00089,           0.0029558,           0.0029558,           0.0029558
                  39,            0.016838,           0.0075121,           0.0018917,             0.97085,             0.98307,             0.99341,             0.81913,            0.013815,           0.0038823,           0.0006354,           0.0027654,           0.0027654,           0.0027654
                  40,            0.016758,           0.0073664,           0.0021867,              0.9798,             0.98269,              0.9937,             0.82184,            0.013852,           0.0039495,          0.00054945,            0.002575,            0.002575,            0.002575
                  41,              0.0168,           0.0074729,           0.0019512,              0.9749,             0.98754,              0.9938,             0.82313,            0.013674,            0.003831,          0.00044961,           0.0023846,           0.0023846,           0.0023846
