               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066497,            0.024711,            0.042364,             0.36723,             0.67367,             0.44354,             0.23054,              0.0347,           0.0075903,            0.031845,            0.070246,            0.003306,            0.003306
                   1,            0.042722,            0.013743,              0.0239,             0.53373,             0.75775,             0.68417,             0.35065,            0.033736,           0.0056628,            0.012224,            0.040119,           0.0065129,           0.0065129
                   2,            0.040934,            0.011452,            0.011085,               0.746,              0.7739,             0.83073,             0.49282,            0.026817,           0.0058045,            0.017627,           0.0098662,           0.0095929,           0.0095929
                   3,            0.035131,            0.011273,             0.01062,             0.68636,             0.66426,             0.74736,             0.46084,            0.032236,           0.0080699,            0.018688,           0.0094288,           0.0094288,           0.0094288
                   4,            0.031772,            0.011109,           0.0092196,             0.86977,             0.82033,             0.90778,             0.60604,            0.024299,            0.006029,           0.0088144,           0.0094288,           0.0094288,           0.0094288
                   5,            0.030382,            0.010646,           0.0076239,             0.90697,             0.84027,             0.94065,             0.65749,            0.022079,           0.0053465,            0.012936,           0.0092385,           0.0092385,           0.0092385
                   6,            0.028471,            0.010131,           0.0076382,             0.92768,             0.83465,             0.93129,             0.67579,            0.019697,           0.0054234,           0.0092875,           0.0090481,           0.0090481,           0.0090481
                   7,            0.027504,            0.010144,           0.0069157,             0.87723,             0.76099,             0.90368,             0.65718,            0.020179,           0.0054925,            0.018277,           0.0088577,           0.0088577,           0.0088577
                   8,            0.026581,           0.0098657,           0.0066588,             0.84587,              0.8032,             0.91857,             0.67761,            0.019509,           0.0053589,            0.019874,           0.0086673,           0.0086673,           0.0086673
                   9,            0.025323,           0.0095194,           0.0055536,             0.95265,             0.92037,             0.97618,             0.72623,            0.018637,           0.0047447,           0.0032416,           0.0084769,           0.0084769,           0.0084769
                  10,            0.024922,             0.00966,           0.0057023,             0.95209,             0.93068,             0.97941,             0.74447,             0.01773,           0.0046728,            0.003678,           0.0082865,           0.0082865,           0.0082865
                  11,            0.024349,           0.0093482,           0.0059001,             0.95235,             0.96275,             0.98931,             0.76931,            0.016814,            0.004593,            0.002858,           0.0080962,           0.0080962,           0.0080962
                  12,            0.023895,           0.0094007,           0.0051331,             0.94808,               0.952,             0.98547,             0.76489,            0.016701,           0.0045258,           0.0036119,           0.0079058,           0.0079058,           0.0079058
                  13,            0.023095,            0.009108,           0.0043332,             0.93048,             0.91734,             0.96714,             0.75771,            0.016144,           0.0045138,            0.008099,           0.0077154,           0.0077154,           0.0077154
                  14,            0.022729,           0.0090766,           0.0042226,             0.95297,             0.96907,             0.99114,             0.78046,            0.016033,            0.004141,           0.0020442,            0.007525,            0.007525,            0.007525
                  15,             0.02234,           0.0089909,           0.0041513,             0.96612,             0.95706,             0.98861,             0.78635,            0.015498,           0.0042302,           0.0019215,           0.0073346,           0.0073346,           0.0073346
                  16,            0.021416,           0.0086937,           0.0037472,              0.9556,             0.96825,             0.98966,             0.79167,            0.015797,           0.0041299,           0.0036015,           0.0071442,           0.0071442,           0.0071442
                  17,            0.021383,            0.008653,           0.0033711,             0.97024,             0.97371,             0.99189,             0.79628,            0.015618,           0.0041727,           0.0016847,           0.0069538,           0.0069538,           0.0069538
                  18,            0.021329,           0.0087776,           0.0033612,             0.97013,              0.9782,             0.99127,             0.80706,            0.014827,           0.0040126,           0.0017688,           0.0067635,           0.0067635,           0.0067635
                  19,            0.020824,           0.0084335,           0.0031519,             0.95517,             0.97104,             0.98685,             0.79692,            0.015373,           0.0040788,           0.0025464,           0.0065731,           0.0065731,           0.0065731
                  20,              0.0207,            0.008426,           0.0030787,              0.9671,             0.96738,             0.98997,             0.79346,            0.015645,           0.0041121,           0.0020845,           0.0063827,           0.0063827,           0.0063827
                  21,            0.020424,           0.0083464,           0.0029269,             0.96701,             0.95902,             0.98511,             0.79404,            0.015273,           0.0040918,           0.0020507,           0.0061923,           0.0061923,           0.0061923
                  22,            0.020165,           0.0082551,           0.0030924,             0.97693,             0.98509,             0.99369,             0.80978,            0.014575,           0.0039351,           0.0013675,           0.0060019,           0.0060019,           0.0060019
                  23,            0.019782,           0.0082511,           0.0029018,             0.96257,             0.98576,             0.99172,             0.81256,            0.014677,           0.0038917,           0.0020962,           0.0058115,           0.0058115,           0.0058115
                  24,            0.019839,           0.0082093,           0.0027533,             0.97952,             0.97644,             0.99324,             0.81259,            0.014339,            0.003993,           0.0013786,           0.0056212,           0.0056212,           0.0056212
                  25,            0.019632,            0.008071,           0.0027234,             0.97882,             0.96561,             0.99177,             0.80616,            0.014874,           0.0039509,           0.0017925,           0.0054308,           0.0054308,           0.0054308
                  26,            0.018966,           0.0078712,           0.0021539,             0.98243,             0.98542,             0.99388,              0.8238,            0.013981,           0.0037767,           0.0010892,           0.0052404,           0.0052404,           0.0052404
